iter	Passed	Remaining
242	1145	3568
243	1147	3553
244	1149	3541
245	1151	3528
246	1160	3537
247	1162	3525
248	1165	3514
249	1167	3501
250	1173	3500
251	1175	3489
252	1178	3480
253	1181	3469
254	1189	3474
255	1191	3462
256	1192	3449
257	1194	3436
258	1196	3424
259	1202	3421
260	1204	3410
261	1209	3407
262	1220	3421
263	1226	3419
264	1236	3428
265	1239	3419
266	1241	3409
267	1248	3408
268	1250	3397
269	1252	3385
270	1254	3373
271	1255	3360
272	1257	3348
273	1262	3344
274	1264	3334
275	1268	3327
276	1271	3319
277	1273	3308
278	1276	3298
279	1280	3291
280	1282	3280
281	1284	3269
282	1286	3258
283	1290	3252
284	1292	3242
285	1295	3233
286	1297	3223
287	1305	3228
288	1307	3217
289	1309	3206
290	1311	3196
291	1313	3185
292	1318	3180
293	1321	3173
294	1323	3162
295	1325	3152
296	1327	3141
297	1331	3136
298	1334	3129
299	1337	3119
300	1339	3110
301	1341	3101
302	1343	3091
303	1348	3086
304	1351	3078
305	1354	3072
306	1356	3063
307	1359	3055
308	1361	3045
309	1363	3035
310	1365	3025
311	1367	3016
312	1370	3007
313	1372	2998
314	1375	2990
315	1378	2982
316	1380	2974
317	1396	2993
318	1417	3025
319	1430	3040
320	1446	3058
321	1455	3065
322	1463	3068
323	1473	3073
324	1477	3069
325	1495	3091
326	1505	3099
327	1510	3095
328	1529	3120
329	1540	3127
330	1543	3118
331	1545	3110
332	1555	3116
333	1559	3109
334	1561	3100
335	1567	3098
336	1572	3094
337	1582	3099
338	1585	3091
339	1588	3082
340	1597	3086
341	1602	3083
342	1614	3091
343	1617	3084
344	1632	3099
345	1645	3109
346	1648	3103
347	1651	3094
348	1679	3132
349	1692	3143
350	1697	3138
351	1701	3131
352	1710	3135
353	1716	3132
354	1724	3132
355	1727	3125
356	1730	3116
357	1738	3117
358	1742	3110
359	1745	3102
360	1747	3092
361	1754	3091
362	1756	3082
363	1758	3072
364	1761	3064
365	1767	3061
366	1770	3052
367	1771	3042
368	1773	3033
369	1775	3023
370	1782	3022
371	1784	3012
372	1786	3002
373	1788	2992
374	1789	2983
375	1791	2973
376	1798	2971
377	1800	2961
378	1803	2955
379	1807	2948
380	1824	2963
381	1867	3021
382	1872	3017
383	1880	3017
384	1883	3009
385	1886	3001
386	1896	3003
387	1898	2995
388	1901	2986
389	1904	2978
390	1910	2975
391	1927	2990
392	1931	2983
393	1941	2986
394	1946	2981
395	1961	2991
396	1963	2982
397	1967	2975
398	1969	2966
399	1971	2957
400	1982	2961
401	1989	2959
402	1998	2961
403	2000	2951
404	2003	2942
405	2015	2948
406	2017	2939
407	2020	2932
408	2028	2930
409	2030	2921
410	2032	2913
411	2035	2905
412	2045	2907
413	2050	2901
414	2057	2900
415	2063	2896
416	2067	2890
417	2078	2893
418	2082	2887
419	2084	2878
420	2086	2869
421	2093	2867
